city,crime_type,location_type,latitude,longitude,month
London,anti-social-behaviour,Force,51.498175,-0.140363,2024-12
London,anti-social-behaviour,Force,51.519092,-0.122330,2024-12
London,anti-social-behaviour,Force,51.510953,-0.133012,2024-12
London,anti-social-behaviour,Force,51.507097,-0.130864,2024-12
London,anti-social-behaviour,Force,51.493937,-0.129472,2024-12
London,anti-social-behaviour,Force,51.501162,-0.116252,2024-12
London,anti-social-behaviour,Force,51.497579,-0.130590,2024-12
London,anti-social-behaviour,Force,51.512300,-0.128388,2024-12
London,anti-social-behaviour,Force,51.506889,-0.149476,2024-12
London,anti-social-behaviour,Force,51.510389,-0.124157,2024-12
London,anti-social-behaviour,Force,51.507725,-0.125708,2024-12
London,anti-social-behaviour,Force,51.510623,-0.126987,2024-12
London,anti-social-behaviour,Force,51.512544,-0.145989,2024-12
London,anti-social-behaviour,Force,51.512095,-0.120571,2024-12
London,anti-social-behaviour,Force,51.507766,-0.141284,2024-12
London,anti-social-behaviour,Force,51.515939,-0.132693,2024-12
London,anti-social-behaviour,Force,51.515869,-0.121554,2024-12
London,anti-social-behaviour,Force,51.498553,-0.135291,2024-12
London,anti-social-behaviour,Force,51.511783,-0.129778,2024-12
London,anti-social-behaviour,Force,51.504066,-0.110037,2024-12
London,anti-social-behaviour,Force,51.495415,-0.130794,2024-12
London,anti-social-behaviour,Force,51.513848,-0.129593,2024-12
London,anti-social-behaviour,Force,51.510641,-0.144467,2024-12
London,anti-social-behaviour,Force,51.519092,-0.122330,2024-12
London,anti-social-behaviour,Force,51.501941,-0.112127,2024-12
London,anti-social-behaviour,Force,51.511022,-0.119880,2024-12
London,anti-social-behaviour,Force,51.515449,-0.123373,2024-12
London,anti-social-behaviour,Force,51.512770,-0.118367,2024-12
London,anti-social-behaviour,Force,51.514903,-0.113494,2024-12
London,anti-social-behaviour,Force,51.508450,-0.143266,2024-12
London,anti-social-behaviour,Force,51.516037,-0.128682,2024-12
London,anti-social-behaviour,Force,51.495183,-0.139952,2024-12
London,anti-social-behaviour,Force,51.515487,-0.122420,2024-12
London,anti-social-behaviour,Force,51.509097,-0.146936,2024-12
London,anti-social-behaviour,Force,51.498553,-0.135291,2024-12
London,anti-social-behaviour,Force,51.510345,-0.122502,2024-12
London,anti-social-behaviour,Force,51.493937,-0.129472,2024-12
London,anti-social-behaviour,Force,51.508202,-0.136410,2024-12
London,anti-social-behaviour,Force,51.511111,-0.123710,2024-12
London,anti-social-behaviour,Force,51.508087,-0.124122,2024-12
London,anti-social-behaviour,Force,51.515598,-0.127633,2024-12
London,anti-social-behaviour,Force,51.517858,-0.130120,2024-12
London,anti-social-behaviour,Force,51.511623,-0.125951,2024-12
London,anti-social-behaviour,Force,51.501162,-0.116252,2024-12
London,anti-social-behaviour,Force,51.494818,-0.117089,2024-12
London,anti-social-behaviour,Force,51.515939,-0.132693,2024-12
London,anti-social-behaviour,Force,51.514195,-0.145735,2024-12
London,anti-social-behaviour,Force,51.514012,-0.131078,2024-12
London,anti-social-behaviour,Force,51.513734,-0.132595,2024-12
London,anti-social-behaviour,Force,51.513052,-0.132681,2024-12
London,anti-social-behaviour,Force,51.514684,-0.140844,2024-12
London,anti-social-behaviour,Force,51.506344,-0.110216,2024-12
London,anti-social-behaviour,Force,51.512744,-0.127995,2024-12
London,anti-social-behaviour,Force,51.513848,-0.129593,2024-12
London,anti-social-behaviour,Force,51.514536,-0.140043,2024-12
London,anti-social-behaviour,Force,51.514832,-0.124162,2024-12
London,anti-social-behaviour,Force,51.513052,-0.132681,2024-12
London,anti-social-behaviour,Force,51.506610,-0.135250,2024-12
London,anti-social-behaviour,Force,51.509396,-0.130626,2024-12
London,anti-social-behaviour,Force,51.502888,-0.117319,2024-12
London,anti-social-behaviour,Force,51.517742,-0.125614,2024-12
London,anti-social-behaviour,Force,51.511703,-0.128701,2024-12
London,anti-social-behaviour,Force,51.512449,-0.115772,2024-12
London,anti-social-behaviour,Force,51.505745,-0.139709,2024-12
London,anti-social-behaviour,Force,51.496508,-0.139610,2024-12
London,anti-social-behaviour,Force,51.516178,-0.131904,2024-12
London,anti-social-behaviour,Force,51.496941,-0.130617,2024-12
London,anti-social-behaviour,Force,51.510389,-0.124157,2024-12
London,anti-social-behaviour,Force,51.517858,-0.130120,2024-12
London,anti-social-behaviour,Force,51.494818,-0.117089,2024-12
London,anti-social-behaviour,Force,51.503196,-0.127032,2024-12
London,anti-social-behaviour,Force,51.507725,-0.125708,2024-12
London,anti-social-behaviour,Force,51.495936,-0.141491,2024-12
London,anti-social-behaviour,Force,51.503276,-0.107317,2024-12
London,anti-social-behaviour,Force,51.494818,-0.117089,2024-12
London,anti-social-behaviour,Force,51.511783,-0.129778,2024-12
London,anti-social-behaviour,Force,51.515004,-0.125352,2024-12
London,anti-social-behaviour,Force,51.516568,-0.121381,2024-12
London,anti-social-behaviour,Force,51.512059,-0.118929,2024-12
London,anti-social-behaviour,Force,51.505921,-0.109067,2024-12
London,anti-social-behaviour,Force,51.495415,-0.130794,2024-12
London,anti-social-behaviour,Force,51.496508,-0.139610,2024-12
London,anti-social-behaviour,Force,51.507286,-0.128903,2024-12
London,anti-social-behaviour,Force,51.510379,-0.141552,2024-12
London,anti-social-behaviour,Force,51.507097,-0.130864,2024-12
London,anti-social-behaviour,Force,51.513601,-0.131534,2024-12
London,anti-social-behaviour,Force,51.517319,-0.127274,2024-12
London,anti-social-behaviour,Force,51.506342,-0.125794,2024-12
London,anti-social-behaviour,Force,51.511054,-0.135400,2024-12
London,anti-social-behaviour,Force,51.515004,-0.125352,2024-12
London,anti-social-behaviour,Force,51.513310,-0.120741,2024-12
London,anti-social-behaviour,Force,51.518106,-0.116951,2024-12
London,anti-social-behaviour,Force,51.496466,-0.141499,2024-12
London,anti-social-behaviour,Force,51.512744,-0.127995,2024-12
London,anti-social-behaviour,Force,51.511574,-0.126271,2024-12
London,anti-social-behaviour,Force,51.509097,-0.146936,2024-12
London,anti-social-behaviour,Force,51.518043,-0.122651,2024-12
London,anti-social-behaviour,Force,51.510952,-0.134064,2024-12
London,anti-social-behaviour,Force,51.512300,-0.128388,2024-12
London,anti-social-behaviour,Force,51.505745,-0.139709,2024-12
London,anti-social-behaviour,Force,51.515004,-0.125352,2024-12
London,anti-social-behaviour,Force,51.507415,-0.105835,2024-12
London,anti-social-behaviour,Force,51.506736,-0.126800,2024-12
London,anti-social-behaviour,Force,51.508087,-0.124122,2024-12
London,anti-social-behaviour,Force,51.506600,-0.134054,2024-12
London,anti-social-behaviour,Force,51.510468,-0.130769,2024-12
London,anti-social-behaviour,Force,51.514369,-0.121645,2024-12
London,anti-social-behaviour,Force,51.509929,-0.138703,2024-12
London,anti-social-behaviour,Force,51.512449,-0.115772,2024-12
London,anti-social-behaviour,Force,51.514684,-0.140844,2024-12
